California, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195012,58.1,0.7
195112,57.2,-0.2
195212,56.8,-0.6
195312,57.2,-0.2
195412,57.6,0.2
195512,56.2,-1.2
195612,57.0,-0.4
195712,57.1,-0.3
195812,58.9,1.5
195912,59.0,1.6
196012,58.0,0.6
196112,57.8,0.4
196212,57.4,0.0
196312,57.1,-0.3
196412,56.6,-0.8
196512,56.7,-0.7
196612,58.0,0.6
196712,57.5,0.1
196812,57.6,0.2
196912,57.5,0.1
197012,57.8,0.4
197112,56.2,-1.2
197212,57.3,-0.1
197312,57.3,-0.1
197412,57.6,0.2
197512,56.3,-1.1
197612,57.5,0.1
197712,58.0,0.6
197812,57.6,0.2
197912,57.7,0.3
198012,58.1,0.7
198112,59.3,1.9
198212,56.3,-1.1
198312,57.6,0.2
198412,58.2,0.8
198512,57.3,-0.1
198612,58.9,1.5
198712,58.3,0.9
198812,58.8,1.4
198912,58.1,0.7
199012,58.0,0.6
199112,58.1,0.7
199212,59.3,1.9
199312,57.7,0.3
199412,58.0,0.6
199512,58.9,1.5
199612,59.6,2.2
199712,59.1,1.7
199812,56.7,-0.7
199912,58.0,0.6
200012,58.8,1.4
200112,59.1,1.7
200212,58.8,1.4
200312,59.4,2.0
200412,58.9,1.5
200512,58.6,1.2
200612,58.6,1.2
200712,58.9,1.5
200812,58.9,1.5
200912,58.8,1.4
201012,57.7,0.3
201112,57.4,0.0
201212,59.5,2.1
201312,59.3,1.9
201412,61.4,4.0
201512,60.8,3.4
201612,60.1,2.7
201712,60.3,2.9
201812,60.1,2.7
201912,58.4,1.0
202012,60.5,3.1
202112,60.4,3.0
